index,values,weights
740,126,84
741,-129,49
742,48,107
743,160,21
744,74,152
745,16,79
746,-55,2
747,136,12
748,147,127
749,160,154
750,13,3
751,80,64
752,-155,56
753,-30,49
754,-141,158
755,-159,150
756,-27,72
757,-5,7
758,-54,94
759,11,32
760,-11,59
761,-33,24
762,77,88
763,152,21
764,38,105
765,96,30
766,-130,70
767,-82,4
768,55,119
769,62,117
770,108,13
771,-4,15
772,24,119
773,-150,7
774,-111,47
775,-75,70
776,119,148
777,117,2
778,-56,90
779,-136,89
780,-160,133
781,142,92
782,-11,100
783,133,94
784,81,53
785,-87,123
786,36,124
787,-105,60
788,5,38
789,113,97
790,41,156
791,-84,8
792,43,151
793,3,104
794,-61,4
795,100,152
796,34,58
797,21,98
798,104,9
799,-140,124
800,-22,29
801,-130,119
802,-139,29
803,152,50
804,-21,23
805,-87,22
806,-99,74
807,-116,151
808,79,152
809,-146,44
810,-152,19
811,-102,125
812,106,2
813,-155,131
814,142,131
815,-34,151
816,71,55
817,79,64
818,-82,160
819,38,107
820,-15,70
821,154,46
822,-50,132
823,139,46
824,59,99
825,-154,110
826,-36,107
827,55,134
828,121,43
829,145,72
830,-73,98
831,-74,45
832,51,99
833,100,136
834,102,112
835,6,89
836,-66,152
837,-27,96
838,85,57
839,-85,88
840,136,53
841,-32,103
842,20,32
843,118,122
844,-2,39
845,9,62
846,-75,8
847,1,143
848,-92,76
849,130,49
850,159,33
851,53,48
852,27,106
853,39,13
854,-80,40
855,-22,125
856,-79,26
857,-39,68
858,-41,145
859,14,110
860,46,55
861,-101,64
862,39,10
863,72,43
864,9,37
865,132,7
866,24,90
867,93,71
868,123,43
869,-104,14
870,71,123
871,-4,127
872,27,25
873,32,44
874,-145,138
875,15,116
876,141,99
877,-53,133
878,46,23
879,-77,118
880,-33,132
881,93,130
882,5,156
883,-73,76
884,-108,5
885,48,108
886,76,32
887,-139,71
888,115,110
889,-57,154
890,159,158
891,93,71
892,91,29
893,45,87
894,111,27
895,149,87
896,90,129
897,-19,67
898,-41,155
899,-77,120
